source,output_scope,figure_file,graph_folder,primary_csv,secondary_csv,notes
SIPP,outmoded,Figure 1 - Percent of Households with Student Debt by Black and Non-Black Group.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_debt_time_series_black_nonblack.csv,,Uses percent_with_student_debt and its 95 percent confidence interval columns.
SCF,main,Figure 1 - Percent of Households with Student Debt by Black and Non-Black Group.pdf,3. Output Graphs/3. B. SCF,2. Output CSV/2. B. SCF/scf_student_debt_time_series_black_nonblack.csv,,Uses percent_with_student_debt and its 95 percent confidence interval columns.
SIPP,outmoded,Figure 2 - Mean Student Debt Among Debt Holders by Black and Non-Black Group.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_debt_time_series_black_nonblack.csv,,Uses mean_student_debt_positive and its 95 percent confidence interval columns.
SCF,main,Figure 2 - Mean Student Debt Among Debt Holders by Black and Non-Black Group.pdf,3. Output Graphs/3. B. SCF,2. Output CSV/2. B. SCF/scf_student_debt_time_series_black_nonblack.csv,,Uses mean_student_debt_positive and its 95 percent confidence interval columns.
SIPP,outmoded,Figure 2 - Median Student Debt Among Debt Holders by Black and Non-Black Group.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,2. Output CSV/2. A. SIPP/sipp_student_debt_time_series_black_nonblack.csv,,Uses median_student_debt_positive and its 95 percent confidence interval columns.
SCF,outmoded,Figure 2 - Median Student Debt Among Debt Holders by Black and Non-Black Group.pdf,4. outmoded/3. Output Graphs/3. B. SCF,2. Output CSV/2. B. SCF/scf_student_debt_time_series_black_nonblack.csv,,Uses median_student_debt_positive and its 95 percent confidence interval columns.
SIPP,outmoded,Figure 3 - $2500 Cap Binds Differently for Black and Non-Black Borrowers.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_loan_interest_deduction_married_cap_comparison_black_nonblack.csv,,Uses pct_borrowers_at_2500_limit_baseline and its standard error column for married and unmarried households.
SCF,main,Figure 3 - $2500 Cap Binds Differently for Black and Non-Black Borrowers.pdf,3. Output Graphs/3. B. SCF,2. Output CSV/2. B. SCF/scf_student_loan_interest_deduction_married_cap_comparison_black_nonblack.csv,,Uses pct_borrowers_at_2500_limit_baseline and its standard error column for married and unmarried households.
SIPP,outmoded,Figure 4 - A Higher Married Cap Raises Deductions and Tax Savings for Married Black Households.pdf,4. outmoded/3. Output Graphs/3. A. Sipp,4. outmoded/2. Output CSV/2. A. SIPP/sipp_student_loan_interest_deduction_married_cap_comparison_black_nonblack.csv,,Uses mean_deduction_gain and mean_tax_savings_gain with their standard error columns for married households only.
SCF,main,Figure 4 - A Higher Married Cap Raises Deductions and Tax Savings for Married Black Households.pdf,3. Output Graphs/3. B. SCF,2. Output CSV/2. B. SCF/scf_student_loan_interest_deduction_married_cap_comparison_black_nonblack.csv,,Uses mean_deduction_gain and mean_tax_savings_gain with their standard error columns for married households only.
